Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Epoch,Test_Accuracy
Cora,ClassBasedStratification,0,2,GAT,106,1000,0.9059040590405903
Cora,ClassBasedStratification,0,2,GAT,107,1000,0.9095940959409594
Cora,ClassBasedStratification,0,2,GAT,108,1000,0.904059040590406
Cora,ClassBasedStratification,0,2,GAT,109,1000,0.911439114391144
Cora,ClassBasedStratification,0,2,SAGE,100,1000,0.8929889298892989
Cora,ClassBasedStratification,0,2,SAGE,101,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,SAGE,102,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,103,1000,0.9003690036900369
Cora,ClassBasedStratification,0,2,SAGE,104,1000,0.8911439114391144
Cora,ClassBasedStratification,0,2,SAGE,105,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,SAGE,106,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,107,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,108,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,SAGE,109,1000,0.8837638376383764
Cora,ClassBasedStratification,0,2,MixHop,100,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,MixHop,101,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,MixHop,102,1000,0.8911439114391144
Cora,ClassBasedStratification,0,2,MixHop,103,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,MixHop,104,1000,0.9022140221402214
Cora,ClassBasedStratification,0,2,MixHop,105,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,MixHop,106,1000,0.8948339483394834
Cora,ClassBasedStratification,0,2,MixHop,107,1000,0.8929889298892989
Cora,ClassBasedStratification,0,2,MixHop,108,1000,0.8856088560885609
Cora,ClassBasedStratification,0,2,MixHop,109,1000,0.8948339483394834
Cora,ClassBasedStratification,0,3,MLP,100,1000,0.7564575645756457
Cora,ClassBasedStratification,0,3,MLP,101,1000,0.7564575645756457
Cora,ClassBasedStratification,0,3,MLP,102,1000,0.7619926199261993
Cora,ClassBasedStratification,0,3,MLP,103,1000,0.7822878228782287
Cora,ClassBasedStratification,0,3,MLP,104,1000,0.7712177121771218
Cora,ClassBasedStratification,0,3,MLP,105,1000,0.7656826568265682
Cora,ClassBasedStratification,0,3,MLP,106,1000,0.7822878228782287
Cora,ClassBasedStratification,0,3,MLP,107,1000,0.7693726937269373
Cora,ClassBasedStratification,0,3,MLP,108,1000,0.7546125461254612
Cora,ClassBasedStratification,0,3,MLP,109,1000,0.7619926199261993
Cora,ClassBasedStratification,0,3,GCN,100,1000,0.8782287822878229
Cora,ClassBasedStratification,0,3,GCN,101,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,102,1000,0.8800738007380073
Cora,ClassBasedStratification,0,3,GCN,103,1000,0.8745387453874539
Cora,ClassBasedStratification,0,3,GCN,104,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,105,1000,0.8653136531365314
Cora,ClassBasedStratification,0,3,GCN,106,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,107,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,GCN,108,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,109,1000,0.8726937269372693
Cora,ClassBasedStratification,0,3,GAT,100,1000,0.8800738007380073
Cora,ClassBasedStratification,0,3,GAT,101,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GAT,102,1000,0.8856088560885609
Cora,ClassBasedStratification,0,3,GAT,103,1000,0.8800738007380073
Cora,ClassBasedStratification,0,3,GAT,104,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,GAT,105,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,GAT,106,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,GAT,107,1000,0.8819188191881919
Cora,ClassBasedStratification,0,3,GAT,108,1000,0.8929889298892989
Cora,ClassBasedStratification,0,3,GAT,109,1000,0.8837638376383764
Cora,ClassBasedStratification,0,3,SAGE,100,1000,0.8856088560885609
Cora,ClassBasedStratification,0,3,SAGE,101,1000,0.8819188191881919
Cora,ClassBasedStratification,0,3,SAGE,102,1000,0.8782287822878229
Cora,ClassBasedStratification,0,3,SAGE,103,1000,0.8837638376383764
Cora,ClassBasedStratification,0,3,SAGE,104,1000,0.8856088560885609
Cora,ClassBasedStratification,0,3,SAGE,105,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,SAGE,106,1000,0.8837638376383764
Cora,ClassBasedStratification,0,3,SAGE,107,1000,0.8856088560885609
Cora,ClassBasedStratification,0,3,SAGE,108,1000,0.8837638376383764
Cora,ClassBasedStratification,0,3,SAGE,109,1000,0.8892988929889298
Cora,ClassBasedStratification,0,3,MixHop,100,1000,0.8929889298892989
Cora,ClassBasedStratification,0,3,MixHop,101,1000,0.8948339483394834
Cora,ClassBasedStratification,0,3,MixHop,102,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,MixHop,103,1000,0.9022140221402214
Cora,ClassBasedStratification,0,3,MixHop,104,1000,0.8819188191881919
Cora,ClassBasedStratification,0,3,MixHop,105,1000,0.8929889298892989
Cora,ClassBasedStratification,0,3,MixHop,106,1000,0.8892988929889298
Cora,ClassBasedStratification,0,3,MixHop,107,1000,0.8874538745387454
Cora,ClassBasedStratification,0,3,MixHop,108,1000,0.8929889298892989
Cora,ClassBasedStratification,0,3,MixHop,109,1000,0.8911439114391144
Cora,ClassBasedStratification,0,4,MLP,100,1000,0.7393715341959335
Cora,ClassBasedStratification,0,4,MLP,101,1000,0.7245841035120147
Cora,ClassBasedStratification,0,4,MLP,102,1000,0.7301293900184843
Cora,ClassBasedStratification,0,4,MLP,103,1000,0.7412199630314233
Cora,ClassBasedStratification,0,4,MLP,104,1000,0.7430683918669131
Cora,ClassBasedStratification,0,4,MLP,105,1000,0.7356746765249538
Cora,ClassBasedStratification,0,4,MLP,106,1000,0.7245841035120147
Cora,ClassBasedStratification,0,4,MLP,107,1000,0.7578558225508318
Cora,ClassBasedStratification,0,4,MLP,108,1000,0.7171903881700554
Cora,ClassBasedStratification,0,4,MLP,109,1000,0.7393715341959335
Cora,ClassBasedStratification,0,4,GCN,100,1000,0.8817005545286506
Cora,ClassBasedStratification,0,4,GCN,101,1000,0.8761552680221811
Cora,ClassBasedStratification,0,4,GCN,102,1000,0.8872458410351202
Cora,ClassBasedStratification,0,4,GCN,103,1000,0.8817005545286506
Cora,ClassBasedStratification,0,4,GCN,104,1000,0.8853974121996303
Cora,ClassBasedStratification,0,4,GCN,105,1000,0.8761552680221811
Cora,ClassBasedStratification,0,4,GCN,106,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,GCN,107,1000,0.8743068391866913
Cora,ClassBasedStratification,0,4,GCN,108,1000,0.878003696857671
Cora,ClassBasedStratification,0,4,GCN,109,1000,0.8817005545286506
Cora,ClassBasedStratification,0,4,GAT,100,1000,0.8853974121996303
Cora,ClassBasedStratification,0,4,GAT,101,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,GAT,102,1000,0.88909426987061
Cora,ClassBasedStratification,0,4,GAT,103,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,GAT,104,1000,0.8927911275415896
Cora,ClassBasedStratification,0,4,GAT,105,1000,0.8927911275415896
Cora,ClassBasedStratification,0,4,GAT,106,1000,0.878003696857671
Cora,ClassBasedStratification,0,4,GAT,107,1000,0.88909426987061
Cora,ClassBasedStratification,0,4,GAT,108,1000,0.8872458410351202
Cora,ClassBasedStratification,0,4,GAT,109,1000,0.8872458410351202
Cora,ClassBasedStratification,0,4,SAGE,100,1000,0.8853974121996303
Cora,ClassBasedStratification,0,4,SAGE,101,1000,0.8798521256931608
Cora,ClassBasedStratification,0,4,SAGE,102,1000,0.8817005545286506
Cora,ClassBasedStratification,0,4,SAGE,103,1000,0.8798521256931608
Cora,ClassBasedStratification,0,4,SAGE,104,1000,0.8761552680221811
Cora,ClassBasedStratification,0,4,SAGE,105,1000,0.878003696857671
Cora,ClassBasedStratification,0,4,SAGE,106,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,SAGE,107,1000,0.8761552680221811
Cora,ClassBasedStratification,0,4,SAGE,108,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,SAGE,109,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,MixHop,100,1000,0.8927911275415896
Cora,ClassBasedStratification,0,4,MixHop,101,1000,0.8835489833641405
Cora,ClassBasedStratification,0,4,MixHop,102,1000,0.8909426987060998
Cora,ClassBasedStratification,0,4,MixHop,103,1000,0.8872458410351202
Cora,ClassBasedStratification,0,4,MixHop,104,1000,0.88909426987061
Cora,ClassBasedStratification,0,4,MixHop,105,1000,0.8946395563770795
Cora,ClassBasedStratification,0,4,MixHop,106,1000,0.8983364140480592
Cora,ClassBasedStratification,0,4,MixHop,107,1000,0.8909426987060998
Cora,ClassBasedStratification,0,4,MixHop,108,1000,0.88909426987061
Cora,ClassBasedStratification,0,4,MixHop,109,1000,0.9020332717190388
Cora,ClassBasedStratification,0,5,MLP,100,1000,0.7615526802218114
Cora,ClassBasedStratification,0,5,MLP,101,1000,0.7634011090573013
Cora,ClassBasedStratification,0,5,MLP,102,1000,0.7615526802218114
Cora,ClassBasedStratification,0,5,MLP,103,1000,0.7338262476894639
Cora,ClassBasedStratification,0,5,MLP,104,1000,0.7523105360443623
Cora,ClassBasedStratification,0,5,MLP,105,1000,0.744916820702403
Cora,ClassBasedStratification,0,5,MLP,106,1000,0.7578558225508318
Cora,ClassBasedStratification,0,5,MLP,107,1000,0.7541589648798521
Cora,ClassBasedStratification,0,5,MLP,108,1000,0.7356746765249538
Cora,ClassBasedStratification,0,5,MLP,109,1000,0.7634011090573013
Cora,ClassBasedStratification,0,5,GCN,100,1000,0.8650646950092421
Cora,ClassBasedStratification,0,5,GCN,101,1000,0.8650646950092421
Cora,ClassBasedStratification,0,5,GCN,102,1000,0.8558225508317929
Cora,ClassBasedStratification,0,5,GCN,103,1000,0.8576709796672828
Cora,ClassBasedStratification,0,5,GCN,104,1000,0.8613678373382625
Cora,ClassBasedStratification,0,5,GCN,105,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,GCN,106,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,GCN,107,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,GCN,108,1000,0.8613678373382625
Cora,ClassBasedStratification,0,5,GCN,109,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,GAT,100,1000,0.8687615526802218
Cora,ClassBasedStratification,0,5,GAT,101,1000,0.8798521256931608
Cora,ClassBasedStratification,0,5,GAT,102,1000,0.8613678373382625
Cora,ClassBasedStratification,0,5,GAT,103,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,GAT,104,1000,0.8817005545286506
Cora,ClassBasedStratification,0,5,GAT,105,1000,0.8650646950092421
Cora,ClassBasedStratification,0,5,GAT,106,1000,0.8465804066543438
Cora,ClassBasedStratification,0,5,GAT,107,1000,0.8761552680221811
Cora,ClassBasedStratification,0,5,GAT,108,1000,0.8743068391866913
Cora,ClassBasedStratification,0,5,GAT,109,1000,0.8706099815157117
Cora,ClassBasedStratification,0,5,SAGE,100,1000,0.8743068391866913
Cora,ClassBasedStratification,0,5,SAGE,101,1000,0.8724584103512015
Cora,ClassBasedStratification,0,5,SAGE,102,1000,0.8706099815157117
Cora,ClassBasedStratification,0,5,SAGE,103,1000,0.8687615526802218
Cora,ClassBasedStratification,0,5,SAGE,104,1000,0.8706099815157117
Cora,ClassBasedStratification,0,5,SAGE,105,1000,0.866913123844732
Cora,ClassBasedStratification,0,5,SAGE,106,1000,0.8687615526802218
Cora,ClassBasedStratification,0,5,SAGE,107,1000,0.8724584103512015
Cora,ClassBasedStratification,0,5,SAGE,108,1000,0.8650646950092421
Cora,ClassBasedStratification,0,5,SAGE,109,1000,0.8632162661737524
Cora,ClassBasedStratification,0,5,MixHop,100,1000,0.878003696857671
Cora,ClassBasedStratification,0,5,MixHop,101,1000,0.8798521256931608
Cora,ClassBasedStratification,0,5,MixHop,102,1000,0.8798521256931608
Cora,ClassBasedStratification,0,5,MixHop,103,1000,0.8927911275415896
Cora,ClassBasedStratification,0,5,MixHop,104,1000,0.8853974121996303
Cora,ClassBasedStratification,0,5,MixHop,105,1000,0.8909426987060998
Cora,ClassBasedStratification,0,5,MixHop,106,1000,0.8909426987060998
Cora,ClassBasedStratification,0,5,MixHop,107,1000,0.8817005545286506
Cora,ClassBasedStratification,0,5,MixHop,108,1000,0.8853974121996303
Cora,ClassBasedStratification,0,5,MixHop,109,1000,0.8817005545286506
Cora,ClassBasedStratification,1,1,MLP,100,1000,0.7804428044280443
Cora,ClassBasedStratification,1,1,MLP,101,1000,0.7804428044280443
