Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
actor,RandomKFold,0,1,MLP,101,120,20,1.403529167175293,0.3546052575111389,1.4132966995239258,0.34473684430122375,True,100
actor,RandomKFold,0,1,MLP,100,120,20,1.404263973236084,0.35197368264198303,1.4058256149291992,0.34934210777282715,True,100
actor,RandomKFold,0,1,GCN,100,189,89,1.515404462814331,0.31842106580734253,1.5378247499465942,0.2947368323802948,True,100
actor,RandomKFold,0,1,GCN,101,246,146,1.5146600008010864,0.31776314973831177,1.5432814359664917,0.28881579637527466,True,100
actor,RandomKFold,0,1,GAT,100,205,105,1.5238715410232544,0.2967105209827423,1.5443761348724365,0.2835526168346405,True,100
actor,RandomKFold,0,1,GAT,101,231,131,1.5243300199508667,0.3032894730567932,1.5405914783477783,0.2967105209827423,True,100
actor,RandomKFold,0,1,SAGE,100,117,17,1.3906971216201782,0.3506578803062439,1.405867576599121,0.3638157844543457,True,100
actor,RandomKFold,0,1,SAGE,101,116,16,1.3889769315719604,0.3486842215061188,1.4028126001358032,0.36710527539253235,True,100
actor,RandomKFold,0,1,GPRGNN,100,200,100,1.396916151046753,0.3638157844543457,1.4120595455169678,0.3546052575111389,True,100
actor,RandomKFold,0,1,GPRGNN,101,291,191,1.4004744291305542,0.3657894730567932,1.4173569679260254,0.3638157844543457,True,100
actor,RandomKFold,0,1,H2GCN,100,148,48,1.4042867422103882,0.35789474844932556,1.4220836162567139,0.3598684072494507,True,100
actor,RandomKFold,0,2,MLP,100,120,20,1.39985990524292,0.3598684072494507,1.4085956811904907,0.34671053290367126,True,100
actor,RandomKFold,0,2,MLP,101,121,21,1.3991409540176392,0.3684210479259491,1.408097267150879,0.339473694562912,True,100
actor,RandomKFold,0,1,H2GCN,101,144,44,1.4121602773666382,0.3546052575111389,1.4278736114501953,0.36315789818763733,True,100
actor,RandomKFold,0,2,GCN,100,143,43,1.5179378986358643,0.3328947424888611,1.519494652748108,0.3059210479259491,True,100
actor,RandomKFold,0,2,GCN,101,132,32,1.5199321508407593,0.32434210181236267,1.5171033143997192,0.29802632331848145,True,100
actor,RandomKFold,0,1,MixHop,100,136,36,1.3506360054016113,0.3723684251308441,1.3677246570587158,0.38026314973831177,True,100
actor,RandomKFold,0,1,MixHop,101,136,36,1.3450874090194702,0.38486841320991516,1.3716657161712646,0.3618420958518982,True,100
