Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd,PropLabelClusterTvd
Computers,SklearnCategorical_PropLabelCluster_k10,0,1.7714408534291586,0.003962748382989134,2.2700465922966927e-06,0.00022045384764565328,0.0036116290682223105,0.0006111811994230866
Photo,SklearnCategorical_PropLabelCluster_k11,0,1.631999999999983,0.004491242978794902,4.83853870785847e-06,0.00028277165515279087,0.005853635722100369,0.0010457516339869237
chameleon,SklearnCategorical_PropLabelCluster_k11,0,1.302022471910115,0.018258561752317985,0.0001134580370075394,0.0010895104698959795,0.015763802608940513,0.009887640449438202
squirrel,SklearnCategorical_PropLabelCluster_k12,0,2.533412747688322,0.006701597747054944,2.0964686183745774e-05,0.0004574013472398452,0.01250114782212369,0.0035485446780538555
