Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,RandomKFold,0,0.2689730811990961,0.0074195651275681,1.9076487445213708e-05,0.0012609059738635,0.009579890009678
Cora,LabelStratifiedKFold,0,0.406028736077856,0.01356816422291,2.7733618360247745e-05,0.0007100571108405,0.0096010608284205
Cora,RandomKFold,1,0.2543631225334695,0.0118694217637938,1.854918284356529e-05,0.0010592496219496,0.0100703724565585
Cora,LabelStratifiedKFold,1,0.2595341421732891,0.0150162889635285,2.057194222610257e-05,0.0007407850821359,0.0131204452431893
Cora,RandomKFold,2,0.2219187831197139,0.0090816089412974,1.66699110775385e-05,0.0008027274574307,0.010381056564755
Cora,LabelStratifiedKFold,2,0.2880084787518428,0.0151316661555623,2.2586675250915984e-05,0.0007339245870973,0.0090213576228715
Cora,RandomKFold,3,0.3360902569100155,0.0090944170888355,2.4507559756539373e-05,0.0009334696125981,0.0107659213658334
Cora,LabelStratifiedKFold,3,0.2378107665753242,0.0120223680795237,1.7364371710429918e-05,0.0006647304573706,0.0171833097920973
Cora,RandomKFold,4,0.2465370791447247,0.0137795275454689,1.8391325592067183e-05,0.0007365098638704,0.0112117419072951
Cora,LabelStratifiedKFold,4,0.3815328562615674,0.0120817570156807,2.5897297087781245e-05,0.0008589489229825,0.0148747198038741
CiteSeer,RandomKFold,0,0.1736419579236734,0.0142708692486158,1.1034378438465831e-05,0.0008056567163875,0.0093443729399177
CiteSeer,LabelStratifiedKFold,0,0.1463699167007038,0.0076744988989206,9.205791866260403e-06,0.0006004275203159,0.0083338996992638
CiteSeer,RandomKFold,1,0.1254073180009311,0.012505686507434,8.115847429741025e-06,0.0005723079142926,0.0077235510492203
CiteSeer,LabelStratifiedKFold,1,0.1601911850357586,0.0070080730964825,1.1197751150346025e-05,0.0007009021247331,0.0070122263848575
CiteSeer,RandomKFold,2,0.2115042392779573,0.0144158551828595,1.3580450456102717e-05,0.0009141086257785,0.0122031942814533
CiteSeer,LabelStratifiedKFold,2,0.1753703880494266,0.0136231240947597,1.0274087968019086e-05,0.0005629590089056,0.0078850265716662
CiteSeer,RandomKFold,3,0.1623173768017401,0.013650945462572,9.789023713747804e-06,0.0006601569497495,0.0071586456807004
CiteSeer,LabelStratifiedKFold,3,0.1921280475577857,0.0081859455967015,1.2529669667103808e-05,0.0006966142672941,0.0123089548491562
CiteSeer,RandomKFold,4,0.1571133387535082,0.0105673668266535,1.1382573067698003e-05,0.0007084975151839,0.0113957484444547
CiteSeer,LabelStratifiedKFold,4,0.1613963258498412,0.0119938034310517,1.013790205042564e-05,0.0007749241975533,0.008917648279614
chameleon,RandomKFold,0,1.7564722361289875,0.0092027964662768,3.1239074616128574e-05,0.0006554480611159,0.0136098940479145
chameleon,LabelStratifiedKFold,0,2.9454230145648923,0.0113660815430951,4.208146298627647e-05,0.0007942883237409,0.0102789147250622
chameleon,RandomKFold,1,2.7063789655551664,0.0148357155836592,4.1094073446203285e-05,0.0010098749699039,0.0138090951885572
chameleon,LabelStratifiedKFold,1,1.5872114232068495,0.00944440306003,2.783598601009328e-05,0.0004822400657517,0.0136466155453937
chameleon,RandomKFold,2,2.3530746497336907,0.0123455101250294,4.029077306242275e-05,0.0007035452807979,0.0149016718478668
chameleon,LabelStratifiedKFold,2,3.222795694008507,0.0116966594291743,4.9678011245225306e-05,0.0011147123454339,0.0114386876773408
chameleon,RandomKFold,3,3.0424061420400075,0.0077595425125365,5.384470254023648e-05,0.0011361029552709,0.0109006090071175
chameleon,LabelStratifiedKFold,3,2.0057126321428376,0.0095341634484842,3.39505431565341e-05,0.0005652462019099,0.0131192002655837
chameleon,RandomKFold,4,2.8940643312954526,0.0115577891675537,5.205093135113112e-05,0.0008001951237026,0.0129278902122649
chameleon,LabelStratifiedKFold,4,2.487197960950824,0.0081450229439665,3.2669690089999164e-05,0.0010351020412931,0.0102209127870757
Actor,RandomKFold,0,0.496157894736802,0.006015496926088,9.798000843795105e-06,0.0003112344695394,0.0041618678418006
Actor,LabelStratifiedKFold,0,0.6359473684210127,0.0091094747298446,1.113482221528018e-05,0.0003159572111206,0.0060235311069221
