Dataset,TargetProperty,StratSeed,RequestedBins,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,Degree,0,100,0.0009920409938786179,0.26897308119909613,0.40602873607785606,0.15527257003321804,1.7322639867528034,2.614941814842073,0.15527257003321804,0.009168277910444406,1.4551035647854252e-05,0.0007685373896727532,0.007245331495111811
Cora,Neighborhood Heterogeneity,0,100,0.0008401669911108911,0.007419565127568121,0.013568164222910021,0.002392293086206984,3.1014448732667415,5.671614527976815,0.23778407489500125,0.002392293086206984,1.7840393336138063e-05,0.0009501070182836826,0.006793719173884781
Cora,PageRank,0,100,0.0009329589956905693,1.9076487445213708e-05,2.7733618360247745e-05,1.4360041455830987e-05,1.3284423658448128,1.931304895292369,0.22565101409293015,0.01178311975083132,1.4360041455830987e-05,0.0008116148952293841,0.0088794943267889
Cora,Eigenvector Centrality,0,100,0.0009068340004887432,0.0012609059738635017,0.0007100571108405935,0.0006015615762685275,2.096054707624234,1.1803564902616641,0.25861178457684997,0.006143848720714366,1.8451836455927102e-05,0.0006015615762685275,0.01546881068556984
Cora,Clustering Coefficient,0,100,0.0008450419991277158,0.009579890009678002,0.009601060828420552,0.003335085599115645,2.8724570104642213,2.8788049191200487,0.24722452113983792,0.006561604221304152,1.9622321364022635e-05,0.0012116952456262722,0.003335085599115645
Cora,Degree,0,150,0.0010104169778060168,0.26897308119909613,0.40602873607785606,0.1778094993426396,1.5127036642782732,2.283504186103337,0.1778094993426396,0.015168291389085983,1.5197461431332507e-05,0.000803270783974656,0.012596978994842517
Cora,Neighborhood Heterogeneity,0,150,0.0009670410072430968,0.007419565127568121,0.013568164222910021,0.002575442805635475,2.880889108208089,5.268284037688874,0.2521571734855529,0.002575442805635475,1.7807330554979375e-05,0.0008863776190953217,0.025634875622480697
Cora,PageRank,0,150,0.0010520000068936497,1.9076487445213708e-05,2.7733618360247745e-05,1.3374711044943032e-05,1.4263102493288267,2.0735863576457456,0.18888964675228945,0.012801410753803264,1.3374711044943032e-05,0.000953137602205123,0.011890111339580768
Cora,Eigenvector Centrality,0,150,0.0010722499864641577,0.0012609059738635017,0.0007100571108405935,0.0005117559760656039,2.4638812888075807,1.3874915859303392,0.21723682180017337,0.00613640510014599,1.631708458925786e-05,0.0005117559760656039,0.014619025721760492
Cora,Clustering Coefficient,0,150,0.0009894999966491014,0.009579890009678002,0.009601060828420552,0.005634494197347059,1.7002218254459451,1.7039791846695145,0.21214190060138227,0.016738999789027313,1.7025197513377843e-05,0.0009180399653659924,0.005634494197347059
