Dataset,TargetProperty,StratSeed,RequestedBins,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
chameleon,Degree,0,300,0.0015401249984279275,1.7564722361289877,2.9454230145648923,1.1771011127189612,1.4922016614798275,2.5022684820689034,1.1771011127189612,0.01033314583045187,2.8326543420348816e-05,0.0007131711599081914,0.009697991526201604
chameleon,Neighborhood Heterogeneity,0,300,0.0014432500174734741,0.009202796466276832,0.011366081543095138,0.006046349044509569,1.5220418799066022,1.8798255706749498,2.363128723552065,0.006046349044509569,3.6888958151964714e-05,0.0005772803424093365,0.015255090058094865
chameleon,PageRank,0,300,0.0014627919881604612,3.1239074616128574e-05,4.208146298627647e-05,2.4292259005816168e-05,1.2859682835033648,1.732299288271261,1.592520929363037,0.009786612590166234,2.4292259005816168e-05,0.0008965825039216575,0.009364247371649313
chameleon,Eigenvector Centrality,0,300,0.0014708329981658608,0.0006554480611159158,0.0007942883237409305,0.0004656097569236731,1.407719772554858,1.7059099641486621,2.2132299495571797,0.007687858729364267,4.2467694495555776e-05,0.0004656097569236731,0.009086586393307677
chameleon,Clustering Coefficient,0,300,0.0015331670001614839,0.013609894047914597,0.01027891472506229,0.005858430420124569,2.3231297586402344,1.754550961252814,2.2260605806601212,0.007992862299235895,3.3607242775590726e-05,0.0006443242101066843,0.005858430420124569
chameleon,Degree,0,350,0.0016490420093759894,1.7564722361289877,2.9454230145648923,1.6146180059452395,1.0878562171742308,1.8242228215710778,1.6146180059452395,0.014583792284084629,3.2505839672048635e-05,0.0007835560579882071,0.013762014913791634
chameleon,Neighborhood Heterogeneity,0,350,0.0016230419860221446,0.009202796466276832,0.011366081543095138,0.0053546908607672765,1.718641973097614,2.122640099799615,1.8805743112722522,0.0053546908607672765,2.9379037814799646e-05,0.0006955471178277733,0.017762949589676516
chameleon,PageRank,0,350,0.0015745830023661256,3.1239074616128574e-05,4.208146298627647e-05,1.857719452778946e-05,1.6815819293595875,2.2652216363093567,1.511064116407368,0.010295440985041173,1.857719452778946e-05,0.0005323801633108665,0.01448874014183007
chameleon,Eigenvector Centrality,0,350,0.0015961669851094484,0.0006554480611159158,0.0007942883237409305,0.0005185226665880463,1.2640682912260295,1.531829512810813,2.5025859304692246,0.011967539921577081,3.9927432315446624e-05,0.0005185226665880463,0.010965768561991749
chameleon,Clustering Coefficient,0,350,0.001585791993420571,0.013609894047914597,0.01027891472506229,0.006767928353031992,2.0109394393658797,1.5187682535760587,2.2399524744261594,0.007743516322925878,4.050292845654374e-05,0.0010913127617233303,0.006767928353031992
chameleon,Degree,0,400,0.0016916670138016343,1.7564722361289877,2.9454230145648923,0.6310524994964376,2.7834011235683307,4.667476979990188,0.6310524994964376,0.009101540409572378,2.5749964072014735e-05,0.0004871957612441329,0.013102568257999112
chameleon,Neighborhood Heterogeneity,0,400,0.0016820000018924475,0.009202796466276832,0.011366081543095138,0.0016638640730341503,5.530978530893459,6.831135864583245,1.8740989813644293,0.0016638640730341503,2.894188511915676e-05,0.0005297739693374689,0.008874461716833749
chameleon,PageRank,0,400,0.0017196250264532864,3.1239074616128574e-05,4.208146298627647e-05,1.520959185462513e-05,2.0539061741245206,2.7667713498491935,1.5669573739253395,0.011238980678052183,1.520959185462513e-05,0.0006223096017494246,0.011478394571280822
chameleon,Eigenvector Centrality,0,400,0.00170116699882783,0.0006554480611159158,0.0007942883237409305,9.789021121057876e-05,6.695746724929767,8.11407304078933,1.2832265522425697,0.006319488180362763,2.941224132935246e-05,9.789021121057876e-05,0.009555622898954756
chameleon,Clustering Coefficient,0,400,0.001691417011898011,0.013609894047914597,0.01027891472506229,0.005769700116867951,2.35885640020103,1.7815336181877925,1.971881322338989,0.00820518802907675,3.616839993204815e-05,0.0005525178579723157,0.005769700116867951
chameleon,Degree,0,450,0.0018219579942524433,1.7564722361289877,2.9454230145648923,0.5328807792766633,3.2961823815699214,5.527358330625161,0.5328807792766633,0.008950078225056337,2.3422487584547987e-05,0.0003765161381800554,0.008441738842074789
chameleon,Neighborhood Heterogeneity,0,450,0.0018076670239679515,0.009202796466276832,0.011366081543095138,0.0007379788312947566,12.470271606749026,15.401636281563482,2.1238908231356737,0.0007379788312947566,3.661789361631444e-05,0.0007811941837928621,0.01206559294820938
chameleon,PageRank,0,450,0.0019410840177442878,3.1239074616128574e-05,4.208146298627647e-05,1.3217286849491069e-05,2.3635012973431406,3.183820058191203,1.381449841793097,0.006104974873658552,1.3217286849491069e-05,0.0006139102061964382,0.009190206119695756
chameleon,Eigenvector Centrality,0,450,0.001843832986196503,0.0006554480611159158,0.0007942883237409305,9.783587392163203e-05,6.699465490960293,8.118579534304228,1.6895711623743677,0.0075879434362549885,3.133103910230737e-05,9.783587392163203e-05,0.013470250607292835
chameleon,Clustering Coefficient,0,450,0.0018411249911878258,0.013609894047914597,0.01027891472506229,0.0008400930626278313,16.200459988733297,12.23544769303248,2.155309203890437,0.01527181798980523,3.226633279097933e-05,0.0009429575808089471,0.0008400930626278313
chameleon,Degree,1,300,0.001572042005136609,2.7063789655551664,1.5872114232068495,1.3986139019891888,1.9350436612320236,1.1348460221576708,1.3986139019891888,0.009164037957231001,3.4090333583156134e-05,0.00048254023850528616,0.0117206692184217
chameleon,Neighborhood Heterogeneity,1,300,0.0014183750026859343,0.014835715583659287,0.00944440306003003,0.006061574266526552,2.447502073114178,1.5580775958127346,2.269567018285553,0.006061574266526552,3.9240650882529586e-05,0.0004577479369848295,0.010077012823586926
chameleon,PageRank,1,300,0.001473915996029973,4.1094073446203285e-05,2.783598601009328e-05,2.848291586982861e-05,1.4427621678205154,0.9772870915782674,2.2622458091108,0.0077460883003896445,2.848291586982861e-05,0.0012053846433640613,0.013239970811131648
chameleon,Eigenvector Centrality,1,300,0.0014306249795481563,0.0010098749699039592,0.00048224006575175386,0.0004600575325751628,2.19510582568055,1.0482168676870147,1.6254468427580562,0.0068296954604650986,3.45823074551918e-05,0.0004600575325751628,0.00979069370083129
chameleon,Clustering Coefficient,1,300,0.0015091669920366257,0.013809095188557278,0.013646615545393736,0.005892972974242077,2.3433155469940585,2.315743785868777,2.5523282031977694,0.009570469022736831,3.466078539492066e-05,0.0011009150611350905,0.005892972974242077
chameleon,Degree,1,350,0.0015052920207381248,2.7063789655551664,1.5872114232068495,1.507984570730566,1.7946993743072717,1.0525382381319066,1.507984570730566,0.011540107832986656,2.999470575360873e-05,0.0005594685209821111,0.008442535646362156
chameleon,Neighborhood Heterogeneity,1,350,0.0016130830044858158,0.014835715583659287,0.00944440306003003,0.005456069586038867,2.7191214022675414,1.7309902139438644,2.1271584631996534,0.005456069586038867,3.7737626697046486e-05,0.0011553832414466566,0.01318998303783699
chameleon,PageRank,1,350,0.0015547499933745712,4.1094073446203285e-05,2.783598601009328e-05,2.3878932492279032e-05,1.7209342779242984,1.1657131665786866,1.8555125766681837,0.007864352294066157,2.3878932492279032e-05,0.000574773877914078,0.011196829374241064
