Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd,PropLabelClusterTvd,NeighCountTvd
Cora,SklearnCategorical_NeighCount_k2,0,0.2625060980157608,0.007950356723717782,1.8326266030806823e-05,0.0006655190955180732,0.012177971847983974,0.07934999355754539,0.0005703463904678629
CiteSeer,SklearnCategorical_NeighCount_k2,0,0.13585639457501314,0.011278797324827804,9.701103159706154e-06,0.0005269559789933539,0.008750044705433616,0.0765139609598819,0.0004719648087309767
