Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,RandomTargetEmd,LabelTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,Degree,0,pop50_gen20,50,20,1.4375572500284761,0.26897308119909613,0.40602873607785606,0.1743686694218999,1.5425539581786494,2.3285647440219597,0.1743686694218999,0.014674395700625948,1.517041575229704e-05,0.0007382650967896128,0.014311457135950856
Cora,Neighborhood Heterogeneity,0,pop50_gen20,50,20,1.3204711249563843,0.007419565127568121,0.013568164222910021,0.004174723224668787,1.7772591686378856,3.2500751529429803,0.3305819506672482,0.004174723224668787,2.2314342638002698e-05,0.0011129022311875065,0.0077172327585620535
Cora,PageRank,0,pop50_gen20,50,20,1.6382874170085415,1.9076487445213708e-05,2.7733618360247745e-05,1.2390442256086535e-05,1.5396131188007272,2.238307381370847,0.18269429949914942,0.01261433736755026,1.2390442256086535e-05,0.0008513571730868598,0.019174211572374415
Cora,Eigenvector Centrality,0,pop50_gen20,50,20,1.5420206669950858,0.0012609059738635017,0.0007100571108405935,0.0005037179665856042,2.503198332214377,1.4096322901754648,0.24271571571136655,0.009155064928284226,1.919054476500424e-05,0.0005037179665856042,0.014271852646040894
Cora,Clustering Coefficient,0,pop50_gen20,50,20,1.3931050830287859,0.009579890009678002,0.009601060828420552,0.005007790551172701,1.912997341199629,1.9172249179175875,0.2660089717615753,0.018932522187220777,2.0667822510952377e-05,0.0007359967354790981,0.005007790551172701
Cora,Degree,0,pop100_gen50,100,50,7.190684792003594,0.26897308119909613,0.40602873607785606,0.1424993945180752,1.8875384145227263,2.84933657052384,0.1424993945180752,0.008924106867674756,1.160348029809626e-05,0.0008276861530948185,0.009141945408717714
Cora,Neighborhood Heterogeneity,0,pop100_gen50,100,50,6.474839000031352,0.007419565127568121,0.013568164222910021,0.0023487876691079567,3.1588913826280387,5.776667002029629,0.2554872097100923,0.0023487876691079567,1.7638264082380668e-05,0.0008547556293607237,0.012440178567584222
Cora,PageRank,0,pop100_gen50,100,50,8.084675000049174,1.9076487445213708e-05,2.7733618360247745e-05,1.0131671253804255e-05,1.8828569312344041,2.7373192107703144,0.1624875388702056,0.015996806861750295,1.0131671253804255e-05,0.0008518539703091235,0.007738511347145968
Cora,Eigenvector Centrality,0,pop100_gen50,100,50,8.069590667029843,0.0012609059738635017,0.0007100571108405935,0.0004771452961049129,2.642603802566375,1.4881360387224039,0.2964047204286502,0.0069661531103556995,2.1665598277775123e-05,0.0004771452961049129,0.00912676850575281
Cora,Clustering Coefficient,0,pop100_gen50,100,50,7.06940137501806,0.009579890009678002,0.009601060828420552,0.0022618769579033477,4.235371856194204,4.244731701639632,0.3243161792094299,0.015626456976343923,2.4139391607649344e-05,0.001037751939018642,0.0022618769579033477
