Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,StratifiedKFoldToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,Degree,0,pop100_gen200,100,200,29.83366354199825,0.0006374999938998371,0.26897308119909613,0.40602873607785606,0.15944945278528916,0.1169588073915814,2.2997248962924752,3.4715533197808726,1.6868861981062355,2.546441702905087,1.3632958162051694,0.1169588073915814,0.008030339999800558,1.167173713839289e-05,0.000844876765349719,0.009697726044238379
Cora,Neighborhood Heterogeneity,0,pop100_gen200,100,200,25.614628749986878,0.0005309170228429139,0.007419565127568121,0.013568164222910021,0.002567268328516927,0.001521551262126802,4.876316238729389,8.917323103491526,2.890062189897499,5.285058858942162,1.6872703486364549,0.23585090528904512,0.001521551262126802,1.6371884360452822e-05,0.0008388866954378582,0.013065780123638798
Cora,PageRank,0,pop100_gen200,100,200,33.132213957986096,0.0006148339889477938,1.9076487445213708e-05,2.7733618360247745e-05,1.2206231927975138e-05,9.296408223526435e-06,2.0520277279709824,2.9832616741229407,1.562848187530569,2.272086793360513,1.313005155806821,0.16143783234821804,0.014753159834190507,9.296408223526435e-06,0.0009126701714005378,0.006879094534177085
Cora,Eigenvector Centrality,0,pop100_gen200,100,200,32.698591249994934,0.000608125003054738,0.0012609059738635017,0.0007100571108405935,0.0006143173828330568,0.00044417203062712025,2.838778416739222,1.598608336139657,2.052531816776147,1.1558473367073097,1.383061832969786,0.2530127963399381,0.00982383266669319,1.8795442293422602e-05,0.00044417203062712025,0.009095617319758243
Cora,Clustering Coefficient,0,pop100_gen200,100,200,27.49855375001789,0.0005402079841587692,0.009579890009678002,0.009601060828420552,0.0020628456593552473,0.001514476224908417,6.325546649144204,6.339525619823544,4.644016854209172,4.654279773612056,1.3620852050549628,0.2968373950552144,0.015786026681934292,2.1914601529761976e-05,0.0009926964554898847,0.001514476224908417
Cora,Degree,1,pop100_gen200,100,200,28.338367958000163,0.0007770420052111149,0.2543631225334695,0.2595341421732891,0.19179951746221305,0.11894581776289152,2.1384789084431786,2.181952649151974,1.3261927136160927,1.3531532592328894,1.612494840672324,0.11894581776289152,0.011087013023914339,1.2047363170591908e-05,0.0007903818920744659,0.010060233558586356
Cora,Neighborhood Heterogeneity,1,pop100_gen200,100,200,23.723577040975215,0.0005813330062665045,0.011869421763793889,0.015016288963528513,0.0030528017825977444,0.002706848697484524,4.384959445581184,5.547516925302533,3.888042070551253,4.918854885740595,1.127806583882843,0.24998136478823954,0.002706848697484524,1.7573961196495745e-05,0.0009980972099784431,0.010887175448670598
Cora,PageRank,1,pop100_gen200,100,200,29.89016612499836,0.0006684169929940253,1.854918284356529e-05,2.057194222610257e-05,1.1671613407111354e-05,9.934416687045857e-06,1.8671637628963957,2.070775051435852,1.589256103381862,1.7625619962333887,1.17486650447537,0.17030195571643295,0.011669471087473127,9.934416687045857e-06,0.0008252795715744813,0.006939794822837195
Cora,Eigenvector Centrality,1,pop100_gen200,100,200,31.745073541009333,0.0006463750032708049,0.0010592496219496896,0.0007407850821359054,0.0005701333177326728,0.00044793987099847913,2.3647138612344825,1.6537600916941384,1.8578981248844615,1.299319052396178,1.2727898422210522,0.2794250205230126,0.00827754367512339,2.0387273761155028e-05,0.00044793987099847913,0.015917046602620676
Cora,Clustering Coefficient,1,pop100_gen200,100,200,28.02146616601385,0.000583083980018273,0.010070372456558504,0.01312044524318939,0.00172845453279822,0.0017021972287178209,5.916102016065439,7.707946542171473,5.826229308013924,7.590853559768513,1.015425535676719,0.1898314168462351,0.009060101036011566,1.5167572770840657e-05,0.0009533557430021433,0.0017021972287178209
