Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,StratifiedKFoldToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
chameleon,Degree,0,pop100_gen200,100,500,60.25007725000614,0.0006552919803652912,1.7564722361289877,2.9454230145648923,1.346214657450354,0.7829938266665992,2.243277247289075,3.7617448749299793,1.3047490059688074,2.1879296873377823,1.7193170770982025,0.7829938266665992,0.014670676898571414,2.2920874147693772e-05,0.00044250803038609076,0.010456636018976909
chameleon,Neighborhood Heterogeneity,0,pop100_gen200,100,500,60.28992379200645,0.0005497919919434935,0.009202796466276832,0.011366081543095138,0.003110564440948399,0.0019901437546353423,4.624186792960129,5.711186197791911,2.9585615861637433,3.6540254217108146,1.5629848013257481,1.817877844250841,0.0019901437546353423,3.3395699154381025e-05,0.000498508611059116,0.01042313491061701
chameleon,PageRank,0,pop100_gen200,100,500,62.927713666984346,0.0005750830168835819,3.1239074616128574e-05,4.208146298627647e-05,3.240238294147559e-05,1.5970539604436825e-05,1.9560437774719865,2.6349430907510283,0.9640980625576782,1.298715068650445,2.0288846678964925,1.6783815993312594,0.012665213994402147,1.5970539604436825e-05,0.0007583186070679829,0.021751350305164115
chameleon,Eigenvector Centrality,0,pop100_gen200,100,500,65.87494612499722,0.0005500839906744659,0.0006554480611159158,0.0007942883237409305,0.00037857039179047544,0.00017869481244464945,3.6679747562282494,4.444943380698086,1.7313769785743884,2.0981258465150634,2.1185303961061392,2.1380964585884437,0.009329301519755858,4.138929028824219e-05,0.00017869481244464945,0.017407737703135445
chameleon,Clustering Coefficient,0,pop100_gen200,100,500,61.147006749990396,0.0005756249884143472,0.013609894047914597,0.01027891472506229,0.0032625849768327967,0.0025919397891999213,5.250852702915484,3.9657228026254345,4.171506380540809,3.150543142340066,1.2587425797571825,1.9674227069650416,0.010589635607440214,3.4659580897261684e-05,0.0008110098095525951,0.0025919397891999213
chameleon,Degree,1,pop100_gen200,100,500,60.798137167003006,0.0007239999831654131,2.7063789655551664,1.5872114232068495,1.3657657039121573,0.828604159633912,3.266190416846181,1.9155243245557685,1.9815836331245538,1.1621403427105934,1.6482728067833623,0.828604159633912,0.013863451454462198,2.496253379465431e-05,0.0005142581361100414,0.018085352004859293
chameleon,Neighborhood Heterogeneity,1,pop100_gen200,100,500,59.02962291700533,0.0006250000151339918,0.014835715583659287,0.00944440306003003,0.00360994349901851,0.0024571891575492794,6.037677456812461,3.843579982849009,4.109680826775516,2.616219080048711,1.4691353687312174,2.4564847039560975,0.0024571891575492794,4.1497870262831416e-05,0.0010024024226219772,0.011463464549273081
chameleon,PageRank,1,pop100_gen200,100,500,63.84402349998709,0.0006190829735714942,4.1094073446203285e-05,2.783598601009328e-05,3.192118473589045e-05,1.6183177559870728e-05,2.5393080743366414,1.720056886672115,1.287360534585652,0.872022333769962,1.9724917815302918,1.7801772534610063,0.009050748585478333,1.6183177559870728e-05,0.0010883822862193034,0.008882449600503436
chameleon,Eigenvector Centrality,1,pop100_gen200,100,500,64.94502670801012,0.0006191249995026737,0.0010098749699039592,0.00048224006575175386,0.0004225622661825192,0.00015584239259293576,6.480104374050378,3.0944087659856265,2.3898844045572196,1.1412284161299384,2.711471886127047,1.8883657329195092,0.008939807511959118,2.930906243961374e-05,0.00015584239259293576,0.010334762809937772
chameleon,Clustering Coefficient,1,pop100_gen200,100,500,59.237518458015984,0.0005782499792985618,0.013809095188557278,0.013646615545393736,0.0029432620480965514,0.0028266560113894223,4.885311524612971,4.827830302098146,4.691765450340316,4.636561516572808,1.0412522911303284,1.8599758758912048,0.010458046350199878,3.876034683477532e-05,0.0008175210770181698,0.0028266560113894223
