Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,RandomTargetEmd,LabelTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
actor,Degree,0,pop50_gen20,50,20,4.1476171660469845,0.496157894736802,0.6359473684210127,0.40094736842101336,1.2374639012864481,1.5861118403781078,0.40094736842101336,0.008606475951444167,8.008946059834214e-06,0.00022359050127864353,0.002231595075908157
actor,Neighborhood Heterogeneity,0,pop50_gen20,50,20,4.294624625006691,0.006015496926088082,0.009109474729844618,0.0020373516528818165,2.952606103899252,4.471233386224388,0.49026315789469715,0.0020373516528818165,9.175432327098874e-06,0.0002905197823746315,0.004393861174163545
actor,PageRank,0,pop50_gen20,50,20,5.3532342499820516,9.798000843795103e-06,1.113482221528018e-05,7.491755228655006e-06,1.3078378223462244,1.4862768303869445,0.39205263157890735,0.007659837397795759,7.491755228655006e-06,0.0003548085706532573,0.004305125557369828
actor,Eigenvector Centrality,0,pop50_gen20,50,20,4.787523709004745,0.00031123446953945346,0.0003159572111206976,0.00020347340020860751,1.5296076500435232,1.552818259275011,0.5207368421052239,0.004746638306661659,9.522079063860408e-06,0.00020347340020860751,0.004688254701500025
actor,Clustering Coefficient,0,pop50_gen20,50,20,4.261432375060394,0.004161867841800603,0.006023531106922172,0.0016783881013270057,2.479681450619229,3.5888785806808983,0.540052631578908,0.006928477901181107,9.854607962177157e-06,0.0002856618409892941,0.0016783881013270057
actor,Degree,0,pop100_gen50,100,50,21.11960008298047,0.496157894736802,0.6359473684210127,0.36099999999996024,1.3743986003791042,1.7616270593381795,0.36099999999996024,0.0055102080151830865,7.68641084092332e-06,0.0002969728418516628,0.003988111002210544
actor,Neighborhood Heterogeneity,0,pop100_gen50,100,50,21.629741874989122,0.006015496926088082,0.009109474729844618,0.0013819731157273026,4.352832090313316,6.591643951807629,0.48784210526311833,0.0013819731157273026,9.123924573710497e-06,0.0003071217176413126,0.003480531119416299
actor,PageRank,0,pop100_gen50,100,50,26.331991874962114,9.798000843795103e-06,1.113482221528018e-05,7.169085977134105e-06,1.3667015397842845,1.5531718061123614,0.3751052631578557,0.006403960178949335,7.169085977134105e-06,0.00022863046197645615,0.0028778979813990774
actor,Eigenvector Centrality,0,pop100_gen50,100,50,26.225908208987676,0.00031123446953945346,0.0003159572111206976,0.0001812972577430902,1.7167080926314537,1.7427578059036566,0.46894736842101264,0.0067710013926813445,9.00576834210228e-06,0.0001812972577430902,0.006337159250066613
actor,Clustering Coefficient,0,pop100_gen50,100,50,21.004754457972012,0.004161867841800603,0.006023531106922172,0.0011144160804790221,3.734572674159242,5.405100673289827,0.42415789473680254,0.007414453114824077,8.234186469306358e-06,0.000286844270964077,0.0011144160804790221
actor,Degree,0,pop200_gen50,200,50,43.493125499924645,0.496157894736802,0.6359473684210127,0.3484736842104863,1.4238030508987043,1.824950913759346,0.3484736842104863,0.008191719016746469,7.6258753343221976e-06,0.0003139355186667737,0.003383337201094462
actor,Neighborhood Heterogeneity,0,pop200_gen50,200,50,43.61931358301081,0.006015496926088082,0.009109474729844618,0.0014225807740892217,4.228580222405565,6.403485057413892,0.5271052631578549,0.0014225807740892217,9.591021140294446e-06,0.00027927560842031884,0.005137036550529023
actor,PageRank,0,pop200_gen50,200,50,53.954737166990526,9.798000843795103e-06,1.113482221528018e-05,7.110050473573197e-06,1.3780494076958445,1.5660679564324262,0.39068421052627617,0.009039775621930233,7.110050473573197e-06,0.0002529251363739001,0.005831081853788949
actor,Eigenvector Centrality,0,pop200_gen50,200,50,58.078192917048,0.00031123446953945346,0.0003159572111206976,0.00019091483467977824,1.6302267451426053,1.6549641710695406,0.5450526315789073,0.007021551243372656,9.828823518738985e-06,0.00019091483467977824,0.004262757595703363
actor,Clustering Coefficient,0,pop200_gen50,200,50,46.32924799993634,0.004161867841800603,0.006023531106922172,0.0010240619798302939,4.064078077081137,5.881998575828763,0.5485789473683818,0.008045215721095077,9.950126312463193e-06,0.00030992617163313064,0.0010240619798302939
actor,Degree,0,pop100_gen100,100,100,42.9696996670682,0.496157894736802,0.6359473684210127,0.3412105263157499,1.4541107511954854,1.863797624556632,0.3412105263157499,0.00462282178384301,7.5571428973691125e-06,0.0003182837313188266,0.003989654382801371
actor,Neighborhood Heterogeneity,0,pop100_gen100,100,100,43.301599583006464,0.006015496926088082,0.009109474729844618,0.0010794686895648103,5.5726460473005845,8.43885035101585,0.49721052631574986,0.0010794686895648103,9.259172082783523e-06,0.000297090292337014,0.002709712204036408
actor,PageRank,0,pop100_gen100,100,100,56.19891141704284,9.798000843795103e-06,1.113482221528018e-05,6.842991367625705e-06,1.4318300750969222,1.6271863600411935,0.37557894736838165,0.005303927124624971,6.842991367625705e-06,0.0002515379923414173,0.003374223560036202
actor,Eigenvector Centrality,0,pop100_gen100,100,100,54.23257216694765,0.00031123446953945346,0.0003159572111206976,0.00017285743589903925,1.8005269366672545,1.8278485358607226,0.49363157894732845,0.006754567233355421,9.38638216171038e-06,0.00017285743589903925,0.006445961240962339
actor,Clustering Coefficient,0,pop100_gen100,100,100,42.768083708011545,0.004161867841800603,0.006023531106922172,0.0007775487132182908,5.352549327198475,7.746821523233763,0.4382631578946972,0.007414844115019623,8.544952082435272e-06,0.0002859319190122719,0.0007775487132182908
actor,Degree,1,pop50_gen20,50,20,4.4247913339640945,0.540736842105223,0.5054736842104866,0.37763157894732924,1.4319163763066625,1.3385365853658873,0.37763157894732924,0.005552113276171054,7.67051194173187e-06,0.0002745512723011533,0.003641965668245019
actor,Neighborhood Heterogeneity,1,pop50_gen20,50,20,4.118946874979883,0.00776153839134464,0.006003050755317279,0.0023170383374549815,3.349766926977073,2.590829274715837,0.5375263157894341,0.0023170383374549815,9.660312009964329e-06,0.00031876689537535383,0.00471784492211737
actor,PageRank,1,pop50_gen20,50,20,5.30560333293397,9.816376515667547e-06,9.468123612903362e-06,7.67959096401618e-06,1.2782421045161885,1.2328942592473486,0.40663157894732915,0.006527910982503701,7.67959096401618e-06,0.00027449731572559477,0.004306952611180863
actor,Eigenvector Centrality,1,pop50_gen20,50,20,5.21258874994237,0.0002788365619366752,0.00029068761670026706,0.00019137982546272534,1.4569799155292031,1.5189041791496654,0.5389999999999605,0.00688401303234461,9.98438215077753e-06,0.00019137982546272534,0.004816821686482975
actor,Clustering Coefficient,1,pop50_gen20,50,20,4.212091167108156,0.0036585271334095572,0.003266042509147455,0.0012345142472800195,2.9635357724467877,2.64560940980913,0.4969999999999599,0.007859151673748304,9.182231481323765e-06,0.0003430602207728251,0.0012345142472800195
actor,Degree,1,pop100_gen50,100,50,22.09147620794829,0.540736842105223,0.5054736842104866,0.350105263157855,1.544497895369874,1.4437763078773804,0.350105263157855,0.007741249811296408,7.65471276507524e-06,0.0003884966511289905,0.0031805982111585856
actor,Neighborhood Heterogeneity,1,pop100_gen50,100,50,21.55168745899573,0.00776153839134464,0.006003050755317279,0.0012911563214698905,6.011308051769189,4.6493601553088695,0.5374210526315399,0.0012911563214698905,9.549562332105862e-06,0.0002549425785406842,0.004969897311651145
actor,PageRank,1,pop100_gen50,100,50,27.422054291935638,9.816376515667547e-06,9.468123612903362e-06,7.1460120780849115e-06,1.3736859675583248,1.3249520864846849,0.37952631578943397,0.005135764541692632,7.1460120780849115e-06,0.0002958291022443259,0.004335720344509592
actor,Eigenvector Centrality,1,pop100_gen50,100,50,26.964747834019363,0.0002788365619366752,0.00029068761670026706,0.00018753656805726925,1.486838352782083,1.5500316536212708,0.5594736842104866,0.005043327010775865,1.0174650467138075e-05,0.00018753656805726925,0.0036907519084746947
actor,Clustering Coefficient,1,pop100_gen50,100,50,22.38799104199279,0.0036585271334095572,0.003266042509147455,0.0008574191811232361,4.2669060990877465,3.8091549396747513,0.538368421052592,0.005785003657011614,9.698906193860855e-06,0.000260437118824109,0.0008574191811232361
actor,Degree,1,pop200_gen50,200,50,43.02152279193979,0.540736842105223,0.5054736842104866,0.36063157894732883,1.4994162288383486,1.4016345592528165,0.36063157894732883,0.004662998612676011,7.785771352454358e-06,0.000264213035119037,0.00443073357817157
