Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,StratifiedKFoldToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,Degree,0,pop100_gen200,100,500,67.52483900001971,0.0006758750241715461,0.26897308119909613,0.40602873607785606,0.15944945278528916,0.1169588073915814,2.2997248962924752,3.4715533197808726,1.6868861981062355,2.546441702905087,1.3632958162051694,0.1169588073915814,0.008030339999800558,1.167173713839289e-05,0.000844876765349719,0.009697726044238379
Cora,Neighborhood Heterogeneity,0,pop100_gen200,100,500,61.50691649998771,0.0005429589946288615,0.007419565127568121,0.013568164222910021,0.002567268328516927,0.0014765462015308459,5.024946134347644,9.189122703267186,2.890062189897499,5.285058858942162,1.738698271584897,0.23590377583252162,0.0014765462015308459,1.6751320514441345e-05,0.0008847024651986909,0.010947492446549896
Cora,PageRank,0,pop100_gen200,100,500,74.92030883400002,0.0006233750027604401,1.9076487445213708e-05,2.7733618360247745e-05,1.2206231927975138e-05,9.283008691083168e-06,2.0549897215476816,2.9875678546856674,1.562848187530569,2.272086793360513,1.31490040935757,0.16143919650234015,0.014753159834190507,9.283008691083168e-06,0.0008917908422142566,0.00722647545305178
Cora,Eigenvector Centrality,0,pop100_gen200,100,500,77.86745937497471,0.000668499997118488,0.0012609059738635017,0.0007100571108405935,0.0006143173828330568,0.0004396534335581057,2.8679543422623066,1.6150382474989828,2.052531816776147,1.1558473367073097,1.397276436263444,0.2552896431172303,0.008493927915000579,1.9359077997507442e-05,0.0004396534335581057,0.010978136250673762
Cora,Clustering Coefficient,0,pop100_gen200,100,500,65.14123566701892,0.000568625022424385,0.009579890009678002,0.009601060828420552,0.0020628456593552473,0.0014918430704770936,6.421513227000705,6.435704276422398,4.644016854209172,4.654279773612056,1.382749767839553,0.29855977564681935,0.015491116558066991,2.2041893965906734e-05,0.0009908017419884127,0.0014918430704770936
Cora,Degree,1,pop100_gen200,100,500,66.46539599998505,0.0007099999929778278,0.2543631225334695,0.2595341421732891,0.19179951746221305,0.11894581776289152,2.1384789084431786,2.181952649151974,1.3261927136160927,1.3531532592328894,1.612494840672324,0.11894581776289152,0.011087013023914339,1.2047363170591908e-05,0.0007903818920744659,0.010060233558586356
Cora,Neighborhood Heterogeneity,1,pop100_gen200,100,500,57.581764832983026,0.0005728329997509718,0.011869421763793889,0.015016288963528513,0.0030528017825977444,0.002706848697484524,4.384959445581184,5.547516925302533,3.888042070551253,4.918854885740595,1.127806583882843,0.24998136478823954,0.002706848697484524,1.7573961196495745e-05,0.0009980972099784431,0.010887175448670598
Cora,PageRank,1,pop100_gen200,100,500,73.35859474999597,0.0006581249763257802,1.854918284356529e-05,2.057194222610257e-05,1.1671613407111354e-05,9.934416687045857e-06,1.8671637628963957,2.070775051435852,1.589256103381862,1.7625619962333887,1.17486650447537,0.17030195571643295,0.011669471087473127,9.934416687045857e-06,0.0008252795715744813,0.006939794822837195
Cora,Eigenvector Centrality,1,pop100_gen200,100,500,77.47238804100198,0.000648665998596698,0.0010592496219496896,0.0007407850821359054,0.0005701333177326728,0.0004469900683522727,2.3697386070665343,1.6572741422793602,1.8578981248844615,1.299319052396178,1.275494374705773,0.2932812699311696,0.008301536249430818,2.19593817051736e-05,0.0004469900683522727,0.016143658966831974
Cora,Clustering Coefficient,1,pop100_gen200,100,500,67.88053900000523,0.0005806249973829836,0.010070372456558504,0.01312044524318939,0.00172845453279822,0.0015708404821859212,6.41081801160673,8.35250007367488,5.826229308013924,7.590853559768513,1.1003374005188415,0.1903050715089266,0.011181014286151118,1.4847086136589342e-05,0.0009289672681622013,0.0015708404821859212
