Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
syn-cora-h0.00-r1,RandomKFold,0,1,GAT,101,111,11,1.5313658714294434,0.29530200362205505,1.511492371559143,0.29865771532058716,True,100
syn-cora-h0.00-r1,RandomKFold,0,1,GAT,100,114,14,1.5439064502716064,0.26174497604370117,1.5056962966918945,0.3120805323123932,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,GAT,101,114,14,1.5150632858276367,0.3221476376056671,1.5536019802093506,0.28523489832878113,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,GAT,100,126,26,1.4853949546813965,0.3624161183834076,1.5438930988311768,0.3154362440109253,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,GAT,100,110,10,1.5337319374084473,0.29194632172584534,1.5131573677062988,0.34563758969306946,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,GAT,101,108,8,1.5352411270141602,0.2718120813369751,1.5332882404327393,0.33557048439979553,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,GAT,100,113,13,1.4893487691879272,0.34563758969306946,1.5379124879837036,0.28523489832878113,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,GAT,101,116,16,1.5146582126617432,0.28859061002731323,1.5354671478271484,0.29194632172584534,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,GAT,100,113,13,1.5107331275939941,0.30201342701911926,1.5050489902496338,0.3154362440109253,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,GAT,101,113,13,1.5172115564346313,0.2651006579399109,1.5179297924041748,0.3221476376056671,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,GAT,101,113,13,1.506072998046875,0.3087248206138611,1.496200442314148,0.3120805323123932,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,GAT,100,117,17,1.4900193214416504,0.3087248206138611,1.4882285594940186,0.38255032896995544,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,GAT,101,214,114,1.4722599983215332,0.37919461727142334,1.5234336853027344,0.3221476376056671,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,3,GAT,100,118,18,1.491227626800537,0.33892616629600525,1.5029852390289307,0.3187919557094574,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,3,GAT,101,115,15,1.4978257417678833,0.34563758969306946,1.5049350261688232,0.30201342701911926,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,4,GAT,100,111,11,1.5518908500671387,0.281879186630249,1.4738235473632812,0.3691275119781494,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,4,GAT,101,109,9,1.560065746307373,0.2785235047340393,1.4947474002838135,0.3590604066848755,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,5,GAT,100,115,15,1.464686632156372,0.3724832236766815,1.5844078063964844,0.231543630361557,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,GAT,100,380,280,1.455229640007019,0.34899330139160156,1.4996029138565063,0.3557046949863434,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,5,GAT,101,115,15,1.4928593635559082,0.30201342701911926,1.5939677953720093,0.231543630361557,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,2,GAT,101,109,9,1.5305672883987427,0.33892616629600525,1.507707953453064,0.3255033493041992,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,2,GAT,100,110,10,1.5326546430587769,0.3255033493041992,1.4947903156280518,0.34563758969306946,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,1,GAT,101,111,11,1.5019065141677856,0.29194632172584534,1.5202677249908447,0.3154362440109253,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,1,GAT,100,168,68,1.4825483560562134,0.3288590610027313,1.5303162336349487,0.3087248206138611,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,3,GAT,101,113,13,1.4955291748046875,0.3187919557094574,1.5225871801376343,0.3724832236766815,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,3,GAT,100,114,14,1.488102674484253,0.3221476376056671,1.5216633081436157,0.3221476376056671,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,4,GAT,100,149,49,1.4824694395065308,0.38255032896995544,1.5188227891921997,0.3322147727012634,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,4,GAT,101,151,51,1.4877268075942993,0.3523489832878113,1.575202226638794,0.28523489832878113,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,5,GAT,101,112,12,1.5254489183425903,0.29194632172584534,1.5336798429489136,0.3120805323123932,True,100
