Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
syn-cora-h0.00-r1,RandomKFold,0,1,H2GCN,101,229,129,0.5896469950675964,0.791946291923523,0.5362482666969299,0.8288590312004089,True,100
syn-cora-h0.00-r1,RandomKFold,0,1,H2GCN,100,236,136,0.5912680625915527,0.8053691387176514,0.5322497487068176,0.8322147727012634,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,H2GCN,100,260,160,0.5111557841300964,0.8221476674079895,0.5872658491134644,0.7986577153205872,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,H2GCN,101,352,252,0.5144370794296265,0.8221476674079895,0.5944386124610901,0.791946291923523,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,H2GCN,100,233,133,0.5661829710006714,0.8120805621147156,0.526675820350647,0.8322147727012634,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,H2GCN,101,289,189,0.562645673751831,0.8288590312004089,0.5316998362541199,0.8389261960983276,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,H2GCN,100,329,229,0.46921682357788086,0.8590604066848755,0.566348671913147,0.8053691387176514,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,H2GCN,101,292,192,0.4692882001399994,0.8657718300819397,0.5602819323539734,0.8053691387176514,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,H2GCN,100,287,187,0.5201572775840759,0.8422818779945374,0.4894908368587494,0.8691275119781494,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,H2GCN,101,288,188,0.5266300439834595,0.8422818779945374,0.4833300709724426,0.8657718300819397,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,H2GCN,101,272,172,0.47536882758140564,0.8422818779945374,0.4991696774959564,0.818791925907135,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,H2GCN,100,275,175,0.4800412058830261,0.8422818779945374,0.49827274680137634,0.8355704545974731,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,H2GCN,101,275,175,0.5035831928253174,0.8322147727012634,0.47078171372413635,0.8422818779945374,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,H2GCN,100,292,192,0.4971059560775757,0.8389261960983276,0.4715130627155304,0.8489933013916016,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,3,H2GCN,100,237,137,0.5024481415748596,0.8523489832878113,0.4694652259349823,0.8557047247886658,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,4,H2GCN,100,239,139,0.5785757303237915,0.8288590312004089,0.5166256427764893,0.8389261960983276,True,100
